TOP.5e2d3950.00090d69	START
TOP.5e2d3950.00090d69	user_options->self_test_disable	0
TOP.5e2d3950.00090d69	user_options->slow_candidates	0
TOP.5e2d3950.00090d69	user_options->show	0
TOP.5e2d3950.00090d69	user_options->speed_only	0
TOP.5e2d3950.00090d69	user_options->spin_damp	8
TOP.5e2d3950.00090d69	user_options->status	1
TOP.5e2d3950.00090d69	user_options->status_timer	60
TOP.5e2d3950.00090d69	user_options->stdout_flag	0
TOP.5e2d3950.00090d69	user_options->usage	0
TOP.5e2d3950.00090d69	user_options->username	0
TOP.5e2d3950.00090d69	user_options->veracrypt_pim	0
TOP.5e2d3950.00090d69	user_options->version	0
TOP.5e2d3950.00090d69	user_options->workload_profile	2
TOP.5e2d3950.00090d69	user_options->brain_client	0
TOP.5e2d3950.00090d69	user_options->brain_client_features	2
TOP.5e2d3950.00090d69	user_options->brain_server	0
TOP.5e2d3950.00090d69	user_options->brain_port	6863
TOP.5e2d3950.00090d69	user_options->brain_session	0
TOP.5e2d3950.00090d69	hashes->hashfile	C:\Users\John\Downloads\Portables\Hashcat\hashes\183031577069277.hccapx
TOP.5e2d3950.00090d69	hashes->hashlist_mode	4
TOP.5e2d3950.00090d69	hashes->hashlist_format	0
TOP.5e2d3950.00090d69	hashes->hashes_cnt	0
TOP.5e2d3950.00090d69	hashes->digests_cnt	1
TOP.5e2d3950.00090d69	hashes->digests_done	0
TOP.5e2d3950.00090d69	hashes->salts_cnt	1
TOP.5e2d3950.00090d69	hashes->salts_done	0
TOP.5e2d3950.00090d69	proc_start	1580022096
TOP.5e2d3950.00090d69	proc_stop	1580022099
TOP.5e2d3950.00090d69	STOP
TOP.5e2d3a26.000d2988	START
TOP.5e2d3a26.000d2988	user_options->separator	:
TOP.5e2d3a26.000d2988	user_options->encoding_from	utf-8
TOP.5e2d3a26.000d2988	user_options->encoding_to	utf-8
TOP.5e2d3a26.000d2988	user_options->opencl_device_types	1
TOP.5e2d3a26.000d2988	user_options->outfile	C:\Users\John\Downloads\portables\Hashcat\output\output.txt
TOP.5e2d3a26.000d2988	user_options->rule_buf_l	:
TOP.5e2d3a26.000d2988	user_options->rule_buf_r	:
TOP.5e2d3a26.000d2988	user_options->session	2020-01-26
TOP.5e2d3a26.000d2988	user_options->limit	0
TOP.5e2d3a26.000d2988	user_options->skip	0
TOP.5e2d3a26.000d2988	user_options->attack_mode	0
TOP.5e2d3a26.000d2988	user_options->benchmark	0
TOP.5e2d3a26.000d2988	user_options->benchmark_all	0
TOP.5e2d3a26.000d2988	user_options->bitmap_max	18
TOP.5e2d3a26.000d2988	user_options->bitmap_min	16
TOP.5e2d3a26.000d2988	user_options->debug_mode	0
TOP.5e2d3a26.000d2988	user_options->example_hashes	0
TOP.5e2d3a26.000d2988	user_options->force	1
TOP.5e2d3a26.000d2988	user_options->hwmon_disable	0
TOP.5e2d3a26.000d2988	user_options->hwmon_temp_abort	90
TOP.5e2d3a26.000d2988	user_options->hash_mode	12000
TOP.5e2d3a26.000d2988	user_options->hex_charset	0
TOP.5e2d3a26.000d2988	user_options->hex_salt	0
TOP.5e2d3a26.000d2988	user_options->hex_wordlist	0
TOP.5e2d3a26.000d2988	user_options->increment	0
TOP.5e2d3a26.000d2988	user_options->increment_max	256
TOP.5e2d3a26.000d2988	user_options->increment_min	1
TOP.5e2d3a26.000d2988	user_options->keep_guessing	0
TOP.5e2d3a26.000d2988	user_options->kernel_accel	0
TOP.5e2d3a26.000d2988	user_options->kernel_loops	0
TOP.5e2d3a26.000d2988	user_options->kernel_threads	0
TOP.5e2d3a26.000d2988	user_options->keyspace	0
TOP.5e2d3a26.000d2988	user_options->left	0
TOP.5e2d3a26.000d2988	user_options->logfile_disable	0
TOP.5e2d3a26.000d2988	user_options->loopback	0
TOP.5e2d3a26.000d2988	user_options->machine_readable	0
TOP.5e2d3a26.000d2988	user_options->markov_classic	0
TOP.5e2d3a26.000d2988	user_options->markov_disable	0
TOP.5e2d3a26.000d2988	user_options->markov_threshold	256
TOP.5e2d3a26.000d2988	user_options->opencl_info	0
TOP.5e2d3a26.000d2988	user_options->opencl_vector_width	0
TOP.5e2d3a26.000d2988	user_options->optimized_kernel_enable	1
TOP.5e2d3a26.000d2988	user_options->outfile_autohex	1
TOP.5e2d3a26.000d2988	user_options->outfile_check_timer	5
TOP.5e2d3a26.000d2988	user_options->outfile_format	1
TOP.5e2d3a26.000d2988	user_options->wordlist_autohex_disable	0
TOP.5e2d3a26.000d2988	user_options->potfile_disable	1
TOP.5e2d3a26.000d2988	user_options->progress_only	0
TOP.5e2d3a26.000d2988	user_options->quiet	0
TOP.5e2d3a26.000d2988	user_options->remove	0
TOP.5e2d3a26.000d2988	user_options->remove_timer	60
TOP.5e2d3a26.000d2988	user_options->restore	0
TOP.5e2d3a26.000d2988	user_options->restore_disable	0
TOP.5e2d3a26.000d2988	user_options->restore_timer	60
TOP.5e2d3a26.000d2988	user_options->rp_files_cnt	0
TOP.5e2d3a26.000d2988	user_options->rp_gen	1000
TOP.5e2d3a26.000d2988	user_options->rp_gen_func_max	4
TOP.5e2d3a26.000d2988	user_options->rp_gen_func_min	1
TOP.5e2d3a26.000d2988	user_options->rp_gen_seed	0
TOP.5e2d3a26.000d2988	user_options->runtime	0
TOP.5e2d3a26.000d2988	user_options->scrypt_tmto	0
TOP.5e2d3a26.000d2988	user_options->segment_size	33554432
TOP.5e2d3a26.000d2988	user_options->self_test_disable	0
TOP.5e2d3a26.000d2988	user_options->slow_candidates	0
TOP.5e2d3a26.000d2988	user_options->show	0
TOP.5e2d3a26.000d2988	user_options->speed_only	0
TOP.5e2d3a26.000d2988	user_options->spin_damp	8
TOP.5e2d3a26.000d2988	user_options->status	1
TOP.5e2d3a26.000d2988	user_options->status_timer	60
TOP.5e2d3a26.000d2988	user_options->stdout_flag	0
TOP.5e2d3a26.000d2988	user_options->usage	0
TOP.5e2d3a26.000d2988	user_options->username	0
TOP.5e2d3a26.000d2988	user_options->veracrypt_pim	0
TOP.5e2d3a26.000d2988	user_options->version	0
TOP.5e2d3a26.000d2988	user_options->workload_profile	2
TOP.5e2d3a26.000d2988	user_options->brain_client	0
TOP.5e2d3a26.000d2988	user_options->brain_client_features	2
TOP.5e2d3a26.000d2988	user_options->brain_server	0
TOP.5e2d3a26.000d2988	user_options->brain_port	6863
TOP.5e2d3a26.000d2988	user_options->brain_session	0
TOP.5e2d3a26.000d2988	proc_start	1580022310
TOP.5e2d3a26.000d2988	proc_stop	1580022311
TOP.5e2d3a26.000d2988	STOP
TOP.5e2d3a3f.000d6f78	START
TOP.5e2d3a3f.000d6f78	user_options->separator	:
TOP.5e2d3a3f.000d6f78	user_options->encoding_from	utf-8
TOP.5e2d3a3f.000d6f78	user_options->encoding_to	utf-8
TOP.5e2d3a3f.000d6f78	user_options->opencl_device_types	1
TOP.5e2d3a3f.000d6f78	user_options->outfile	C:\Users\John\Downloads\portables\Hashcat\output\output.txt
TOP.5e2d3a3f.000d6f78	user_options->rule_buf_l	:
TOP.5e2d3a3f.000d6f78	user_options->rule_buf_r	:
TOP.5e2d3a3f.000d6f78	user_options->session	2020-01-26
TOP.5e2d3a3f.000d6f78	user_options->limit	0
TOP.5e2d3a3f.000d6f78	user_options->skip	0
TOP.5e2d3a3f.000d6f78	user_options->attack_mode	0
TOP.5e2d3a3f.000d6f78	user_options->benchmark	0
TOP.5e2d3a3f.000d6f78	user_options->benchmark_all	0
TOP.5e2d3a3f.000d6f78	user_options->bitmap_max	18
TOP.5e2d3a3f.000d6f78	user_options->bitmap_min	16
TOP.5e2d3a3f.000d6f78	user_options->debug_mode	0
TOP.5e2d3a3f.000d6f78	user_options->example_hashes	0
TOP.5e2d3a3f.000d6f78	user_options->force	1
TOP.5e2d3a3f.000d6f78	user_options->hwmon_disable	0
TOP.5e2d3a3f.000d6f78	user_options->hwmon_temp_abort	90
TOP.5e2d3a3f.000d6f78	user_options->hash_mode	3000
TOP.5e2d3a3f.000d6f78	user_options->hex_charset	0
TOP.5e2d3a3f.000d6f78	user_options->hex_salt	0
TOP.5e2d3a3f.000d6f78	user_options->hex_wordlist	0
TOP.5e2d3a3f.000d6f78	user_options->increment	0
TOP.5e2d3a3f.000d6f78	user_options->increment_max	256
TOP.5e2d3a3f.000d6f78	user_options->increment_min	1
TOP.5e2d3a3f.000d6f78	user_options->keep_guessing	0
TOP.5e2d3a3f.000d6f78	user_options->kernel_accel	0
TOP.5e2d3a3f.000d6f78	user_options->kernel_loops	0
TOP.5e2d3a3f.000d6f78	user_options->kernel_threads	0
TOP.5e2d3a3f.000d6f78	user_options->keyspace	0
TOP.5e2d3a3f.000d6f78	user_options->left	0
TOP.5e2d3a3f.000d6f78	user_options->logfile_disable	0
TOP.5e2d3a3f.000d6f78	user_options->loopback	0
TOP.5e2d3a3f.000d6f78	user_options->machine_readable	0
TOP.5e2d3a3f.000d6f78	user_options->markov_classic	0
TOP.5e2d3a3f.000d6f78	user_options->markov_disable	0
TOP.5e2d3a3f.000d6f78	user_options->markov_threshold	256
TOP.5e2d3a3f.000d6f78	user_options->opencl_info	0
TOP.5e2d3a3f.000d6f78	user_options->opencl_vector_width	0
TOP.5e2d3a3f.000d6f78	user_options->optimized_kernel_enable	1
TOP.5e2d3a3f.000d6f78	user_options->outfile_autohex	1
TOP.5e2d3a3f.000d6f78	user_options->outfile_check_timer	5
TOP.5e2d3a3f.000d6f78	user_options->outfile_format	1
TOP.5e2d3a3f.000d6f78	user_options->wordlist_autohex_disable	0
TOP.5e2d3a3f.000d6f78	user_options->potfile_disable	1
TOP.5e2d3a3f.000d6f78	user_options->progress_only	0
TOP.5e2d3a3f.000d6f78	user_options->quiet	0
TOP.5e2d3a3f.000d6f78	user_options->remove	0
TOP.5e2d3a3f.000d6f78	user_options->remove_timer	60
TOP.5e2d3a3f.000d6f78	user_options->restore	0
TOP.5e2d3a3f.000d6f78	user_options->restore_disable	0
TOP.5e2d3a3f.000d6f78	user_options->restore_timer	60
TOP.5e2d3a3f.000d6f78	user_options->rp_files_cnt	0
TOP.5e2d3a3f.000d6f78	user_options->rp_gen	1000
TOP.5e2d3a3f.000d6f78	user_options->rp_gen_func_max	4
TOP.5e2d3a3f.000d6f78	user_options->rp_gen_func_min	1
TOP.5e2d3a3f.000d6f78	user_options->rp_gen_seed	0
TOP.5e2d3a3f.000d6f78	user_options->runtime	0
TOP.5e2d3a3f.000d6f78	user_options->scrypt_tmto	0
TOP.5e2d3a3f.000d6f78	user_options->segment_size	33554432
TOP.5e2d3a3f.000d6f78	user_options->self_test_disable	0
TOP.5e2d3a3f.000d6f78	user_options->slow_candidates	0
TOP.5e2d3a3f.000d6f78	user_options->show	0
TOP.5e2d3a3f.000d6f78	user_options->speed_only	0
TOP.5e2d3a3f.000d6f78	user_options->spin_damp	8
TOP.5e2d3a3f.000d6f78	user_options->status	1
TOP.5e2d3a3f.000d6f78	user_options->status_timer	60
TOP.5e2d3a3f.000d6f78	user_options->stdout_flag	0
TOP.5e2d3a3f.000d6f78	user_options->usage	0
TOP.5e2d3a3f.000d6f78	user_options->username	0
TOP.5e2d3a3f.000d6f78	user_options->veracrypt_pim	0
TOP.5e2d3a3f.000d6f78	user_options->version	0
TOP.5e2d3a3f.000d6f78	user_options->workload_profile	2
TOP.5e2d3a3f.000d6f78	user_options->brain_client	0
TOP.5e2d3a3f.000d6f78	user_options->brain_client_features	2
TOP.5e2d3a3f.000d6f78	user_options->brain_server	0
TOP.5e2d3a3f.000d6f78	user_options->brain_port	6863
TOP.5e2d3a3f.000d6f78	user_options->brain_session	0
TOP.5e2d3a3f.000d6f78	hashes->hashfile	C:\Users\John\Downloads\Portables\Hashcat\hashes\hash.txt
TOP.5e2d3a3f.000d6f78	hashes->hashlist_mode	4
TOP.5e2d3a3f.000d6f78	hashes->hashlist_format	0
TOP.5e2d3a3f.000d6f78	hashes->hashes_cnt	0
TOP.5e2d3a3f.000d6f78	hashes->digests_cnt	2
TOP.5e2d3a3f.000d6f78	hashes->digests_done	0
TOP.5e2d3a3f.000d6f78	hashes->salts_cnt	1
TOP.5e2d3a3f.000d6f78	hashes->salts_done	0
TOP.5e2d3a3f.000d6f78	proc_start	1580022335
TOP.5e2d3a3f.000d6f78	proc_stop	1580022337
TOP.5e2d3a3f.000d6f78	STOP
TOP.5e2d3a7c.00096d00	START
TOP.5e2d3a7c.00096d00	user_options->separator	:
TOP.5e2d3a7c.00096d00	user_options->encoding_from	utf-8
TOP.5e2d3a7c.00096d00	user_options->encoding_to	utf-8
TOP.5e2d3a7c.00096d00	user_options->opencl_device_types	1
TOP.5e2d3a7c.00096d00	user_options->outfile	C:\Users\John\Downloads\portables\Hashcat\output\output.txt
TOP.5e2d3a7c.00096d00	user_options->rule_buf_l	:
TOP.5e2d3a7c.00096d00	user_options->rule_buf_r	:
TOP.5e2d3a7c.00096d00	user_options->session	2020-01-26
TOP.5e2d3a7c.00096d00	user_options->limit	0
TOP.5e2d3a7c.00096d00	user_options->skip	0
TOP.5e2d3a7c.00096d00	user_options->attack_mode	0
TOP.5e2d3a7c.00096d00	user_options->benchmark	0
TOP.5e2d3a7c.00096d00	user_options->benchmark_all	0
TOP.5e2d3a7c.00096d00	user_options->bitmap_max	18
TOP.5e2d3a7c.00096d00	user_options->bitmap_min	16
TOP.5e2d3a7c.00096d00	user_options->debug_mode	0
TOP.5e2d3a7c.00096d00	user_options->example_hashes	0
TOP.5e2d3a7c.00096d00	user_options->force	1
TOP.5e2d3a7c.00096d00	user_options->hwmon_disable	0
TOP.5e2d3a7c.00096d00	user_options->hwmon_temp_abort	90
TOP.5e2d3a7c.00096d00	user_options->hash_mode	3000
TOP.5e2d3a7c.00096d00	user_options->hex_charset	0
TOP.5e2d3a7c.00096d00	user_options->hex_salt	0
TOP.5e2d3a7c.00096d00	user_options->hex_wordlist	0
TOP.5e2d3a7c.00096d00	user_options->increment	0
TOP.5e2d3a7c.00096d00	user_options->increment_max	256
TOP.5e2d3a7c.00096d00	user_options->increment_min	1
TOP.5e2d3a7c.00096d00	user_options->keep_guessing	0
TOP.5e2d3a7c.00096d00	user_options->kernel_accel	0
TOP.5e2d3a7c.00096d00	user_options->kernel_loops	0
TOP.5e2d3a7c.00096d00	user_options->kernel_threads	0
TOP.5e2d3a7c.00096d00	user_options->keyspace	0
TOP.5e2d3a7c.00096d00	user_options->left	0
TOP.5e2d3a7c.00096d00	user_options->logfile_disable	0
TOP.5e2d3a7c.00096d00	user_options->loopback	0
TOP.5e2d3a7c.00096d00	user_options->machine_readable	0
TOP.5e2d3a7c.00096d00	user_options->markov_classic	0
TOP.5e2d3a7c.00096d00	user_options->markov_disable	0
TOP.5e2d3a7c.00096d00	user_options->markov_threshold	256
TOP.5e2d3a7c.00096d00	user_options->opencl_info	0
TOP.5e2d3a7c.00096d00	user_options->opencl_vector_width	0
TOP.5e2d3a7c.00096d00	user_options->optimized_kernel_enable	1
TOP.5e2d3a7c.00096d00	user_options->outfile_autohex	1
TOP.5e2d3a7c.00096d00	user_options->outfile_check_timer	5
TOP.5e2d3a7c.00096d00	user_options->outfile_format	1
TOP.5e2d3a7c.00096d00	user_options->wordlist_autohex_disable	0
TOP.5e2d3a7c.00096d00	user_options->potfile_disable	1
TOP.5e2d3a7c.00096d00	user_options->progress_only	0
TOP.5e2d3a7c.00096d00	user_options->quiet	0
TOP.5e2d3a7c.00096d00	user_options->remove	0
TOP.5e2d3a7c.00096d00	user_options->remove_timer	60
TOP.5e2d3a7c.00096d00	user_options->restore	0
TOP.5e2d3a7c.00096d00	user_options->restore_disable	0
TOP.5e2d3a7c.00096d00	user_options->restore_timer	60
TOP.5e2d3a7c.00096d00	user_options->rp_files_cnt	0
TOP.5e2d3a7c.00096d00	user_options->rp_gen	1000
TOP.5e2d3a7c.00096d00	user_options->rp_gen_func_max	4
TOP.5e2d3a7c.00096d00	user_options->rp_gen_func_min	1
TOP.5e2d3a7c.00096d00	user_options->rp_gen_seed	0
TOP.5e2d3a7c.00096d00	user_options->runtime	0
TOP.5e2d3a7c.00096d00	user_options->scrypt_tmto	0
TOP.5e2d3a7c.00096d00	user_options->segment_size	33554432
TOP.5e2d3a7c.00096d00	user_options->self_test_disable	0
TOP.5e2d3a7c.00096d00	user_options->slow_candidates	0
TOP.5e2d3a7c.00096d00	user_options->show	0
TOP.5e2d3a7c.00096d00	user_options->speed_only	0
TOP.5e2d3a7c.00096d00	user_options->spin_damp	8
TOP.5e2d3a7c.00096d00	user_options->status	1
TOP.5e2d3a7c.00096d00	user_options->status_timer	60
TOP.5e2d3a7c.00096d00	user_options->stdout_flag	0
TOP.5e2d3a7c.00096d00	user_options->usage	0
TOP.5e2d3a7c.00096d00	user_options->username	0
TOP.5e2d3a7c.00096d00	user_options->veracrypt_pim	0
TOP.5e2d3a7c.00096d00	user_options->version	0
TOP.5e2d3a7c.00096d00	user_options->workload_profile	2
TOP.5e2d3a7c.00096d00	user_options->brain_client	0
TOP.5e2d3a7c.00096d00	user_options->brain_client_features	2
TOP.5e2d3a7c.00096d00	user_options->brain_server	0
TOP.5e2d3a7c.00096d00	user_options->brain_port	6863
TOP.5e2d3a7c.00096d00	user_options->brain_session	0
TOP.5e2d3a7c.00096d00	hashes->hashfile	C:\Users\John\Downloads\Portables\Hashcat\hashes\hash.txt
TOP.5e2d3a7c.00096d00	hashes->hashlist_mode	4
TOP.5e2d3a7c.00096d00	hashes->hashlist_format	0
TOP.5e2d3a7c.00096d00	hashes->hashes_cnt	0
TOP.5e2d3a7c.00096d00	hashes->digests_cnt	2
TOP.5e2d3a7c.00096d00	hashes->digests_done	0
TOP.5e2d3a7c.00096d00	hashes->salts_cnt	1
TOP.5e2d3a7c.00096d00	hashes->salts_done	0
TOP.5e2d3a7c.00096d00	proc_start	1580022396
TOP.5e2d3a7c.00096d00	proc_stop	1580022397
TOP.5e2d3a7c.00096d00	STOP
TOP.5e2d3abe.00034567	START
TOP.5e2d3abe.00034567	user_options->separator	:
TOP.5e2d3abe.00034567	user_options->custom_charset_1	abcdefghijklmnopqrstuvwxyz
TOP.5e2d3abe.00034567	user_options->custom_charset_2	ABCDEFGHIJKLMNOPQRSTUVWXYZ
TOP.5e2d3abe.00034567	user_options->custom_charset_3	1234567890
TOP.5e2d3abe.00034567	user_options->encoding_from	utf-8
TOP.5e2d3abe.00034567	user_options->encoding_to	utf-8
TOP.5e2d3abe.00034567	user_options->opencl_device_types	1
TOP.5e2d3abe.00034567	user_options->outfile	C:\Users\John\Downloads\portables\Hashcat\output\output.txt
TOP.5e2d3abe.00034567	user_options->rule_buf_l	:
TOP.5e2d3abe.00034567	user_options->rule_buf_r	:
TOP.5e2d3abe.00034567	user_options->session	2020-01-26
TOP.5e2d3abe.00034567	user_options->limit	0
TOP.5e2d3abe.00034567	user_options->skip	0
TOP.5e2d3abe.00034567	user_options->attack_mode	3
TOP.5e2d3abe.00034567	user_options->benchmark	0
TOP.5e2d3abe.00034567	user_options->benchmark_all	0
TOP.5e2d3abe.00034567	user_options->bitmap_max	18
TOP.5e2d3abe.00034567	user_options->bitmap_min	16
TOP.5e2d3abe.00034567	user_options->debug_mode	0
TOP.5e2d3abe.00034567	user_options->example_hashes	0
TOP.5e2d3abe.00034567	user_options->force	1
TOP.5e2d3abe.00034567	user_options->hwmon_disable	0
TOP.5e2d3abe.00034567	user_options->hwmon_temp_abort	90
TOP.5e2d3abe.00034567	user_options->hash_mode	3000
TOP.5e2d3abe.00034567	user_options->hex_charset	0
TOP.5e2d3abe.00034567	user_options->hex_salt	0
TOP.5e2d3abe.00034567	user_options->hex_wordlist	0
TOP.5e2d3abe.00034567	user_options->increment	1
TOP.5e2d3abe.00034567	user_options->increment_max	8
TOP.5e2d3abe.00034567	user_options->increment_min	1
TOP.5e2d3abe.00034567	user_options->keep_guessing	0
TOP.5e2d3abe.00034567	user_options->kernel_accel	0
TOP.5e2d3abe.00034567	user_options->kernel_loops	0
TOP.5e2d3abe.00034567	user_options->kernel_threads	0
TOP.5e2d3abe.00034567	user_options->keyspace	0
TOP.5e2d3abe.00034567	user_options->left	0
TOP.5e2d3abe.00034567	user_options->logfile_disable	0
TOP.5e2d3abe.00034567	user_options->loopback	0
TOP.5e2d3abe.00034567	user_options->machine_readable	0
TOP.5e2d3abe.00034567	user_options->markov_classic	0
TOP.5e2d3abe.00034567	user_options->markov_disable	0
TOP.5e2d3abe.00034567	user_options->markov_threshold	4
TOP.5e2d3abe.00034567	user_options->opencl_info	0
TOP.5e2d3abe.00034567	user_options->opencl_vector_width	0
TOP.5e2d3abe.00034567	user_options->optimized_kernel_enable	0
TOP.5e2d3abe.00034567	user_options->outfile_autohex	1
TOP.5e2d3abe.00034567	user_options->outfile_check_timer	5
TOP.5e2d3abe.00034567	user_options->outfile_format	1
TOP.5e2d3abe.00034567	user_options->wordlist_autohex_disable	0
TOP.5e2d3abe.00034567	user_options->potfile_disable	1
TOP.5e2d3abe.00034567	user_options->progress_only	0
TOP.5e2d3abe.00034567	user_options->quiet	0
TOP.5e2d3abe.00034567	user_options->remove	0
TOP.5e2d3abe.00034567	user_options->remove_timer	60
TOP.5e2d3abe.00034567	user_options->restore	0
TOP.5e2d3abe.00034567	user_options->restore_disable	0
TOP.5e2d3abe.00034567	user_options->restore_timer	60
TOP.5e2d3abe.00034567	user_options->rp_files_cnt	0
TOP.5e2d3abe.00034567	user_options->rp_gen	0
TOP.5e2d3abe.00034567	user_options->rp_gen_func_max	4
TOP.5e2d3abe.00034567	user_options->rp_gen_func_min	1
TOP.5e2d3abe.00034567	user_options->rp_gen_seed	0
TOP.5e2d3abe.00034567	user_options->runtime	0
TOP.5e2d3abe.00034567	user_options->scrypt_tmto	0
TOP.5e2d3abe.00034567	user_options->segment_size	33554432
TOP.5e2d3abe.00034567	user_options->self_test_disable	0
TOP.5e2d3abe.00034567	user_options->slow_candidates	0
TOP.5e2d3abe.00034567	user_options->show	0
TOP.5e2d3abe.00034567	user_options->speed_only	0
TOP.5e2d3abe.00034567	user_options->spin_damp	8
TOP.5e2d3abe.00034567	user_options->status	1
TOP.5e2d3abe.00034567	user_options->status_timer	60
TOP.5e2d3abe.00034567	user_options->stdout_flag	0
TOP.5e2d3abe.00034567	user_options->usage	0
TOP.5e2d3abe.00034567	user_options->username	0
TOP.5e2d3abe.00034567	user_options->veracrypt_pim	0
TOP.5e2d3abe.00034567	user_options->version	0
TOP.5e2d3abe.00034567	user_options->workload_profile	2
TOP.5e2d3abe.00034567	user_options->brain_client	0
TOP.5e2d3abe.00034567	user_options->brain_client_features	2
TOP.5e2d3abe.00034567	user_options->brain_server	0
TOP.5e2d3abe.00034567	user_options->brain_port	6863
TOP.5e2d3abe.00034567	user_options->brain_session	0
TOP.5e2d3abe.00034567	hashes->hashfile	C:\Users\John\Downloads\Portables\Hashcat\hashes\hash.txt
TOP.5e2d3abe.00034567	hashes->hashlist_mode	4
TOP.5e2d3abe.00034567	hashes->hashlist_format	0
TOP.5e2d3abe.00034567	hashes->hashes_cnt	0
TOP.5e2d3abe.00034567	hashes->digests_cnt	2
TOP.5e2d3abe.00034567	hashes->digests_done	0
TOP.5e2d3abe.00034567	hashes->salts_cnt	1
TOP.5e2d3abe.00034567	hashes->salts_done	0
TOP.5e2d3abe.00034567	proc_start	1580022462
TOP.5e2d3abe.00034567	proc_stop	1580022463
TOP.5e2d3abe.00034567	STOP
TOP.5e2d3af6.0007bbc2	START
TOP.5e2d3af6.0007bbc2	user_options->separator	:
TOP.5e2d3af6.0007bbc2	user_options->encoding_from	utf-8
TOP.5e2d3af6.0007bbc2	user_options->encoding_to	utf-8
TOP.5e2d3af6.0007bbc2	user_options->opencl_device_types	1
TOP.5e2d3af6.0007bbc2	user_options->outfile	C:\Users\John\Downloads\portables\Hashcat\output\output.txt
TOP.5e2d3af6.0007bbc2	user_options->rule_buf_l	:
TOP.5e2d3af6.0007bbc2	user_options->rule_buf_r	:
TOP.5e2d3af6.0007bbc2	user_options->session	2020-01-26
TOP.5e2d3af6.0007bbc2	user_options->limit	0
TOP.5e2d3af6.0007bbc2	user_options->skip	0
TOP.5e2d3af6.0007bbc2	user_options->attack_mode	0
