TOP.5caae8dd.000e0e88	START
TOP.5caae8dd.000e0e88	user_options->status_timer	60
TOP.5caae8dd.000e0e88	user_options->stdout_flag	0
TOP.5caae8dd.000e0e88	user_options->usage	0
TOP.5caae8dd.000e0e88	user_options->username	0
TOP.5caae8dd.000e0e88	user_options->veracrypt_pim	0
TOP.5caae8dd.000e0e88	user_options->version	0
TOP.5caae8dd.000e0e88	user_options->workload_profile	3
TOP.5caae8dd.000e0e88	user_options->brain_client	0
TOP.5caae8dd.000e0e88	user_options->brain_client_features	2
TOP.5caae8dd.000e0e88	user_options->brain_server	0
TOP.5caae8dd.000e0e88	user_options->brain_port	6863
TOP.5caae8dd.000e0e88	user_options->brain_session	0
TOP.5caae8dd.000e0e88	proc_start	1554704605
TOP.5caae8dd.000e0e88	proc_stop	1554704606
TOP.5caae8dd.000e0e88	STOP
TOP.5caae8fe.0007d00a	START
TOP.5caae8fe.0007d00a	user_options->separator	:
TOP.5caae8fe.0007d00a	user_options->encoding_from	utf-8
TOP.5caae8fe.0007d00a	user_options->encoding_to	utf-8
TOP.5caae8fe.0007d00a	user_options->opencl_device_types	1
TOP.5caae8fe.0007d00a	user_options->outfile	C:\Users\John\Downloads\Hashcat\outputs\output.txt
TOP.5caae8fe.0007d00a	user_options->rule_buf_l	:
TOP.5caae8fe.0007d00a	user_options->rule_buf_r	:
TOP.5caae8fe.0007d00a	user_options->session	2019-04-08
TOP.5caae8fe.0007d00a	user_options->limit	0
TOP.5caae8fe.0007d00a	user_options->skip	0
TOP.5caae8fe.0007d00a	user_options->attack_mode	0
TOP.5caae8fe.0007d00a	user_options->benchmark	0
TOP.5caae8fe.0007d00a	user_options->benchmark_all	0
TOP.5caae8fe.0007d00a	user_options->bitmap_max	18
TOP.5caae8fe.0007d00a	user_options->bitmap_min	16
TOP.5caae8fe.0007d00a	user_options->debug_mode	0
TOP.5caae8fe.0007d00a	user_options->example_hashes	0
TOP.5caae8fe.0007d00a	user_options->force	0
TOP.5caae8fe.0007d00a	user_options->hwmon_disable	0
TOP.5caae8fe.0007d00a	user_options->hwmon_temp_abort	90
TOP.5caae8fe.0007d00a	user_options->hash_mode	0
TOP.5caae8fe.0007d00a	user_options->hex_charset	0
TOP.5caae8fe.0007d00a	user_options->hex_salt	0
TOP.5caae8fe.0007d00a	user_options->hex_wordlist	0
TOP.5caae8fe.0007d00a	user_options->increment	0
TOP.5caae8fe.0007d00a	user_options->increment_max	256
TOP.5caae8fe.0007d00a	user_options->increment_min	1
TOP.5caae8fe.0007d00a	user_options->keep_guessing	0
TOP.5caae8fe.0007d00a	user_options->kernel_accel	0
TOP.5caae8fe.0007d00a	user_options->kernel_loops	0
TOP.5caae8fe.0007d00a	user_options->kernel_threads	0
TOP.5caae8fe.0007d00a	user_options->keyspace	0
TOP.5caae8fe.0007d00a	user_options->left	0
TOP.5caae8fe.0007d00a	user_options->logfile_disable	0
TOP.5caae8fe.0007d00a	user_options->loopback	0
TOP.5caae8fe.0007d00a	user_options->machine_readable	0
TOP.5caae8fe.0007d00a	user_options->markov_classic	0
TOP.5caae8fe.0007d00a	user_options->markov_disable	0
TOP.5caae8fe.0007d00a	user_options->markov_threshold	256
TOP.5caae8fe.0007d00a	user_options->opencl_info	0
TOP.5caae8fe.0007d00a	user_options->opencl_vector_width	0
TOP.5caae8fe.0007d00a	user_options->optimized_kernel_enable	1
TOP.5caae8fe.0007d00a	user_options->outfile_autohex	1
TOP.5caae8fe.0007d00a	user_options->outfile_check_timer	5
TOP.5caae8fe.0007d00a	user_options->outfile_format	3
TOP.5caae8fe.0007d00a	user_options->wordlist_autohex_disable	0
TOP.5caae8fe.0007d00a	user_options->potfile_disable	1
TOP.5caae8fe.0007d00a	user_options->progress_only	0
TOP.5caae8fe.0007d00a	user_options->quiet	0
TOP.5caae8fe.0007d00a	user_options->remove	0
TOP.5caae8fe.0007d00a	user_options->remove_timer	60
TOP.5caae8fe.0007d00a	user_options->restore	0
TOP.5caae8fe.0007d00a	user_options->restore_disable	0
TOP.5caae8fe.0007d00a	user_options->restore_timer	60
TOP.5caae8fe.0007d00a	user_options->rp_files_cnt	0
TOP.5caae8fe.0007d00a	user_options->rp_gen	0
TOP.5caae8fe.0007d00a	user_options->rp_gen_func_max	4
TOP.5caae8fe.0007d00a	user_options->rp_gen_func_min	1
TOP.5caae8fe.0007d00a	user_options->rp_gen_seed	0
TOP.5caae8fe.0007d00a	user_options->runtime	0
TOP.5caae8fe.0007d00a	user_options->scrypt_tmto	0
TOP.5caae8fe.0007d00a	user_options->segment_size	33554432
TOP.5caae8fe.0007d00a	user_options->self_test_disable	0
TOP.5caae8fe.0007d00a	user_options->slow_candidates	0
TOP.5caae8fe.0007d00a	user_options->show	0
TOP.5caae8fe.0007d00a	user_options->speed_only	0
TOP.5caae8fe.0007d00a	user_options->spin_damp	8
TOP.5caae8fe.0007d00a	user_options->status	1
TOP.5caae8fe.0007d00a	user_options->status_timer	60
TOP.5caae8fe.0007d00a	user_options->stdout_flag	0
TOP.5caae8fe.0007d00a	user_options->usage	0
TOP.5caae8fe.0007d00a	user_options->username	0
TOP.5caae8fe.0007d00a	user_options->veracrypt_pim	0
TOP.5caae8fe.0007d00a	user_options->version	0
TOP.5caae8fe.0007d00a	user_options->workload_profile	3
TOP.5caae8fe.0007d00a	user_options->brain_client	0
TOP.5caae8fe.0007d00a	user_options->brain_client_features	2
TOP.5caae8fe.0007d00a	user_options->brain_server	0
TOP.5caae8fe.0007d00a	user_options->brain_port	6863
TOP.5caae8fe.0007d00a	user_options->brain_session	0
TOP.5caae8fe.0007d00a	hashes->hashfile	C:\Users\John\AppData\Local\Temp\tmp621C.tmp
TOP.5caae8fe.0007d00a	hashes->hashlist_mode	4
TOP.5caae8fe.0007d00a	hashes->hashlist_format	0
TOP.5caae8fe.0007d00a	hashes->hashes_cnt	0
TOP.5caae8fe.0007d00a	hashes->digests_cnt	1
TOP.5caae8fe.0007d00a	hashes->digests_done	0
TOP.5caae8fe.0007d00a	hashes->salts_cnt	1
TOP.5caae8fe.0007d00a	hashes->salts_done	0
TOP.5caae8fe.0007d00a	proc_start	1554704638
TOP.5caae8fe.0007d00a	proc_stop	1554704643
TOP.5caae8fe.0007d00a	STOP
TOP.5caae97b.00062879	START
TOP.5caae97b.00062879	user_options->separator	:
TOP.5caae97b.00062879	user_options->encoding_from	utf-8
TOP.5caae97b.00062879	user_options->encoding_to	utf-8
TOP.5caae97b.00062879	user_options->opencl_device_types	1
TOP.5caae97b.00062879	user_options->outfile	C:\Users\John\Downloads\Hashcat\outputs\output.txt
TOP.5caae97b.00062879	user_options->rule_buf_l	:
TOP.5caae97b.00062879	user_options->rule_buf_r	:
TOP.5caae97b.00062879	user_options->session	2019-04-08
TOP.5caae97b.00062879	user_options->limit	0
TOP.5caae97b.00062879	user_options->skip	0
TOP.5caae97b.00062879	user_options->attack_mode	0
TOP.5caae97b.00062879	user_options->benchmark	0
TOP.5caae97b.00062879	user_options->benchmark_all	0
TOP.5caae97b.00062879	user_options->bitmap_max	18
TOP.5caae97b.00062879	user_options->bitmap_min	16
TOP.5caae97b.00062879	user_options->debug_mode	0
TOP.5caae97b.00062879	user_options->example_hashes	0
TOP.5caae97b.00062879	user_options->force	1
TOP.5caae97b.00062879	user_options->hwmon_disable	0
TOP.5caae97b.00062879	user_options->hwmon_temp_abort	90
TOP.5caae97b.00062879	user_options->hash_mode	0
TOP.5caae97b.00062879	user_options->hex_charset	0
TOP.5caae97b.00062879	user_options->hex_salt	0
TOP.5caae97b.00062879	user_options->hex_wordlist	0
TOP.5caae97b.00062879	user_options->increment	0
TOP.5caae97b.00062879	user_options->increment_max	256
TOP.5caae97b.00062879	user_options->increment_min	1
TOP.5caae97b.00062879	user_options->keep_guessing	0
TOP.5caae97b.00062879	user_options->kernel_accel	0
TOP.5caae97b.00062879	user_options->kernel_loops	0
TOP.5caae97b.00062879	user_options->kernel_threads	0
TOP.5caae97b.00062879	user_options->keyspace	0
TOP.5caae97b.00062879	user_options->left	0
TOP.5caae97b.00062879	user_options->logfile_disable	0
TOP.5caae97b.00062879	user_options->loopback	0
TOP.5caae97b.00062879	user_options->machine_readable	0
TOP.5caae97b.00062879	user_options->markov_classic	0
TOP.5caae97b.00062879	user_options->markov_disable	0
TOP.5caae97b.00062879	user_options->markov_threshold	256
TOP.5caae97b.00062879	user_options->opencl_info	0
TOP.5caae97b.00062879	user_options->opencl_vector_width	0
TOP.5caae97b.00062879	user_options->optimized_kernel_enable	1
TOP.5caae97b.00062879	user_options->outfile_autohex	1
TOP.5caae97b.00062879	user_options->outfile_check_timer	5
TOP.5caae97b.00062879	user_options->outfile_format	3
TOP.5caae97b.00062879	user_options->wordlist_autohex_disable	0
TOP.5caae97b.00062879	user_options->potfile_disable	1
TOP.5caae97b.00062879	user_options->progress_only	0
TOP.5caae97b.00062879	user_options->quiet	0
TOP.5caae97b.00062879	user_options->remove	0
TOP.5caae97b.00062879	user_options->remove_timer	60
TOP.5caae97b.00062879	user_options->restore	0
TOP.5caae97b.00062879	user_options->restore_disable	0
TOP.5caae97b.00062879	user_options->restore_timer	60
TOP.5caae97b.00062879	user_options->rp_files_cnt	0
TOP.5caae97b.00062879	user_options->rp_gen	0
TOP.5caae97b.00062879	user_options->rp_gen_func_max	4
TOP.5caae97b.00062879	user_options->rp_gen_func_min	1
TOP.5caae97b.00062879	user_options->rp_gen_seed	0
TOP.5caae97b.00062879	user_options->runtime	0
TOP.5caae97b.00062879	user_options->scrypt_tmto	0
TOP.5caae97b.00062879	user_options->segment_size	33554432
TOP.5caae97b.00062879	user_options->self_test_disable	0
TOP.5caae97b.00062879	user_options->slow_candidates	0
TOP.5caae97b.00062879	user_options->show	0
TOP.5caae97b.00062879	user_options->speed_only	0
TOP.5caae97b.00062879	user_options->spin_damp	8
TOP.5caae97b.00062879	user_options->status	1
TOP.5caae97b.00062879	user_options->status_timer	60
TOP.5caae97b.00062879	user_options->stdout_flag	0
TOP.5caae97b.00062879	user_options->usage	0
TOP.5caae97b.00062879	user_options->username	0
TOP.5caae97b.00062879	user_options->veracrypt_pim	0
TOP.5caae97b.00062879	user_options->version	0
TOP.5caae97b.00062879	user_options->workload_profile	3
TOP.5caae97b.00062879	user_options->brain_client	0
TOP.5caae97b.00062879	user_options->brain_client_features	2
TOP.5caae97b.00062879	user_options->brain_server	0
TOP.5caae97b.00062879	user_options->brain_port	6863
TOP.5caae97b.00062879	user_options->brain_session	0
TOP.5caae97b.00062879	hashes->hashfile	C:\Users\John\AppData\Local\Temp\tmp621C.tmp
TOP.5caae97b.00062879	hashes->hashlist_mode	4
TOP.5caae97b.00062879	hashes->hashlist_format	0
TOP.5caae97b.00062879	hashes->hashes_cnt	0
TOP.5caae97b.00062879	hashes->digests_cnt	1
TOP.5caae97b.00062879	hashes->digests_done	0
TOP.5caae97b.00062879	hashes->salts_cnt	1
TOP.5caae97b.00062879	hashes->salts_done	0
TOP.5caae97b.00062879	proc_start	1554704763
TOP.5caae97b.00062879	proc_stop	1554704764
TOP.5caae97b.00062879	STOP
TOP.5caae991.0004c55f	START
TOP.5caae991.0004c55f	user_options->separator	:
TOP.5caae991.0004c55f	user_options->encoding_from	utf-8
TOP.5caae991.0004c55f	user_options->encoding_to	utf-8
TOP.5caae991.0004c55f	user_options->opencl_device_types	1
TOP.5caae991.0004c55f	user_options->outfile	C:\Users\John\Downloads\Hashcat\outputs\output.txt
TOP.5caae991.0004c55f	user_options->rule_buf_l	:
TOP.5caae991.0004c55f	user_options->rule_buf_r	:
TOP.5caae991.0004c55f	user_options->session	2019-04-08
TOP.5caae991.0004c55f	user_options->limit	0
TOP.5caae991.0004c55f	user_options->skip	0
TOP.5caae991.0004c55f	user_options->attack_mode	0
TOP.5caae991.0004c55f	user_options->benchmark	0
TOP.5caae991.0004c55f	user_options->benchmark_all	0
TOP.5caae991.0004c55f	user_options->bitmap_max	18
TOP.5caae991.0004c55f	user_options->bitmap_min	16
TOP.5caae991.0004c55f	user_options->debug_mode	0
TOP.5caae991.0004c55f	user_options->example_hashes	0
TOP.5caae991.0004c55f	user_options->force	0
TOP.5caae991.0004c55f	user_options->hwmon_disable	0
TOP.5caae991.0004c55f	user_options->hwmon_temp_abort	90
TOP.5caae991.0004c55f	user_options->hash_mode	0
TOP.5caae991.0004c55f	user_options->hex_charset	0
TOP.5caae991.0004c55f	user_options->hex_salt	0
TOP.5caae991.0004c55f	user_options->hex_wordlist	0
TOP.5caae991.0004c55f	user_options->increment	0
TOP.5caae991.0004c55f	user_options->increment_max	256
TOP.5caae991.0004c55f	user_options->increment_min	1
TOP.5caae991.0004c55f	user_options->keep_guessing	0
TOP.5caae991.0004c55f	user_options->kernel_accel	0
TOP.5caae991.0004c55f	user_options->kernel_loops	0
TOP.5caae991.0004c55f	user_options->kernel_threads	0
TOP.5caae991.0004c55f	user_options->keyspace	0
TOP.5caae991.0004c55f	user_options->left	0
TOP.5caae991.0004c55f	user_options->logfile_disable	0
TOP.5caae991.0004c55f	user_options->loopback	0
TOP.5caae991.0004c55f	user_options->machine_readable	0
TOP.5caae991.0004c55f	user_options->markov_classic	0
TOP.5caae991.0004c55f	user_options->markov_disable	0
TOP.5caae991.0004c55f	user_options->markov_threshold	256
TOP.5caae991.0004c55f	user_options->opencl_info	0
TOP.5caae991.0004c55f	user_options->opencl_vector_width	0
TOP.5caae991.0004c55f	user_options->optimized_kernel_enable	1
TOP.5caae991.0004c55f	user_options->outfile_autohex	1
TOP.5caae991.0004c55f	user_options->outfile_check_timer	5
TOP.5caae991.0004c55f	user_options->outfile_format	3
TOP.5caae991.0004c55f	user_options->wordlist_autohex_disable	0
TOP.5caae991.0004c55f	user_options->potfile_disable	1
TOP.5caae991.0004c55f	user_options->progress_only	0
TOP.5caae991.0004c55f	user_options->quiet	0
TOP.5caae991.0004c55f	user_options->remove	0
TOP.5caae991.0004c55f	user_options->remove_timer	60
TOP.5caae991.0004c55f	user_options->restore	0
TOP.5caae991.0004c55f	user_options->restore_disable	0
TOP.5caae991.0004c55f	user_options->restore_timer	60
TOP.5caae991.0004c55f	user_options->rp_files_cnt	0
TOP.5caae991.0004c55f	user_options->rp_gen	0
TOP.5caae991.0004c55f	user_options->rp_gen_func_max	4
TOP.5caae991.0004c55f	user_options->rp_gen_func_min	1
TOP.5caae991.0004c55f	user_options->rp_gen_seed	0
TOP.5caae991.0004c55f	user_options->runtime	0
TOP.5caae991.0004c55f	user_options->scrypt_tmto	0
TOP.5caae991.0004c55f	user_options->segment_size	33554432
TOP.5caae991.0004c55f	user_options->self_test_disable	0
TOP.5caae991.0004c55f	user_options->slow_candidates	0
TOP.5caae991.0004c55f	user_options->show	0
TOP.5caae991.0004c55f	user_options->speed_only	0
TOP.5caae991.0004c55f	user_options->spin_damp	8
TOP.5caae991.0004c55f	user_options->status	1
TOP.5caae991.0004c55f	user_options->status_timer	60
TOP.5caae991.0004c55f	user_options->stdout_flag	0
TOP.5caae991.0004c55f	user_options->usage	0
TOP.5caae991.0004c55f	user_options->username	0
TOP.5caae991.0004c55f	user_options->veracrypt_pim	0
TOP.5caae991.0004c55f	user_options->version	0
TOP.5caae991.0004c55f	user_options->workload_profile	3
TOP.5caae991.0004c55f	user_options->brain_client	0
TOP.5caae991.0004c55f	user_options->brain_client_features	2
TOP.5caae991.0004c55f	user_options->brain_server	0
TOP.5caae991.0004c55f	user_options->brain_port	6863
TOP.5caae991.0004c55f	user_options->brain_session	0
TOP.5caae991.0004c55f	hashes->hashfile	C:\Users\John\AppData\Local\Temp\tmp621C.tmp
TOP.5caae991.0004c55f	hashes->hashlist_mode	4
TOP.5caae991.0004c55f	hashes->hashlist_format	0
TOP.5caae991.0004c55f	hashes->hashes_cnt	0
TOP.5caae991.0004c55f	hashes->digests_cnt	1
TOP.5caae991.0004c55f	hashes->digests_done	0
TOP.5caae991.0004c55f	hashes->salts_cnt	1
TOP.5caae991.0004c55f	hashes->salts_done	0
TOP.5caae991.0004c55f	proc_start	1554704785
TOP.5caae991.0004c55f	proc_stop	1554704786
TOP.5caae991.0004c55f	STOP
TOP.5caaea41.000e2469	START
TOP.5caaea41.000e2469	user_options->separator	:
TOP.5caaea41.000e2469	user_options->encoding_from	utf-8
TOP.5caaea41.000e2469	user_options->encoding_to	utf-8
TOP.5caaea41.000e2469	user_options->outfile	C:\Users\John\Downloads\Hashcat\outputs\output.txt
TOP.5caaea41.000e2469	user_options->rule_buf_l	:
TOP.5caaea41.000e2469	user_options->rule_buf_r	:
TOP.5caaea41.000e2469	user_options->session	2019-04-08
TOP.5caaea41.000e2469	user_options->limit	0
TOP.5caaea41.000e2469	user_options->skip	0
TOP.5caaea41.000e2469	user_options->attack_mode	0
TOP.5caaea41.000e2469	user_options->benchmark	0
TOP.5caaea41.000e2469	user_options->benchmark_all	0
TOP.5caaea41.000e2469	user_options->bitmap_max	18
TOP.5caaea41.000e2469	user_options->bitmap_min	16
TOP.5caaea41.000e2469	user_options->debug_mode	0
TOP.5caaea41.000e2469	user_options->example_hashes	0
TOP.5caaea41.000e2469	user_options->force	1
TOP.5caaea41.000e2469	user_options->hwmon_disable	0
TOP.5caaea41.000e2469	user_options->hwmon_temp_abort	90
TOP.5caaea41.000e2469	user_options->hash_mode	0
TOP.5caaea41.000e2469	user_options->hex_charset	0
TOP.5caaea41.000e2469	user_options->hex_salt	0
TOP.5caaea41.000e2469	user_options->hex_wordlist	0
TOP.5caaea41.000e2469	user_options->increment	0
TOP.5caaea41.000e2469	user_options->increment_max	256
TOP.5caaea41.000e2469	user_options->increment_min	1
TOP.5caaea41.000e2469	user_options->keep_guessing	0
TOP.5caaea41.000e2469	user_options->kernel_accel	0
TOP.5caaea41.000e2469	user_options->kernel_loops	0
TOP.5caaea41.000e2469	user_options->kernel_threads	0
TOP.5caaea41.000e2469	user_options->keyspace	0
TOP.5caaea41.000e2469	user_options->left	0
TOP.5caaea41.000e2469	user_options->logfile_disable	0
TOP.5caaea41.000e2469	user_options->loopback	0
TOP.5caaea41.000e2469	user_options->machine_readable	0
TOP.5caaea41.000e2469	user_options->markov_classic	0
TOP.5caaea41.000e2469	user_options->markov_disable	0
TOP.5caaea41.000e2469	user_options->markov_threshold	256
TOP.5caaea41.000e2469	user_options->opencl_info	0
TOP.5caaea41.000e2469	user_options->opencl_vector_width	0
TOP.5caaea41.000e2469	user_options->optimized_kernel_enable	1
TOP.5caaea41.000e2469	user_options->outfile_autohex	1
TOP.5caaea41.000e2469	user_options->outfile_check_timer	5
TOP.5caaea41.000e2469	user_options->outfile_format	3
TOP.5caaea41.000e2469	user_options->wordlist_autohex_disable	0
TOP.5caaea41.000e2469	user_options->potfile_disable	1
TOP.5caaea41.000e2469	user_options->progress_only	0
TOP.5caaea41.000e2469	user_options->quiet	0
TOP.5caaea41.000e2469	user_options->remove	0
TOP.5caaea41.000e2469	user_options->remove_timer	60
TOP.5caaea41.000e2469	user_options->restore	0
TOP.5caaea41.000e2469	user_options->restore_disable	0
TOP.5caaea41.000e2469	user_options->restore_timer	60
TOP.5caaea41.000e2469	user_options->rp_files_cnt	0
TOP.5caaea41.000e2469	user_options->rp_gen	0
TOP.5caaea41.000e2469	user_options->rp_gen_func_max	4
TOP.5caaea41.000e2469	user_options->rp_gen_func_min	1
TOP.5caaea41.000e2469	user_options->rp_gen_seed	0
TOP.5caaea41.000e2469	user_options->runtime	0
TOP.5caaea41.000e2469	user_options->scrypt_tmto	0
TOP.5caaea41.000e2469	user_options->segment_size	33554432
TOP.5caaea41.000e2469	user_options->self_test_disable	0
TOP.5caaea41.000e2469	user_options->slow_candidates	0
TOP.5caaea41.000e2469	user_options->show	0
TOP.5caaea41.000e2469	user_options->speed_only	0
TOP.5caaea41.000e2469	user_options->spin_damp	8
TOP.5caaea41.000e2469	user_options->status	1
TOP.5caaea41.000e2469	user_options->status_timer	60
TOP.5caaea41.000e2469	user_options->stdout_flag	0
TOP.5caaea41.000e2469	user_options->usage	0
TOP.5caaea41.000e2469	user_options->username	0
TOP.5caaea41.000e2469	user_options->veracrypt_pim	0
TOP.5caaea41.000e2469	user_options->version	0
TOP.5caaea41.000e2469	user_options->workload_profile	3
TOP.5caaea41.000e2469	user_options->brain_client	0
TOP.5caaea41.000e2469	user_options->brain_client_features	2
TOP.5caaea41.000e2469	user_options->brain_server	0
TOP.5caaea41.000e2469	user_options->brain_port	6863
TOP.5caaea41.000e2469	user_options->brain_session	0
TOP.5caaea41.000e2469	hashes->hashfile	C:\Users\John\AppData\Local\Temp\tmp621C.tmp
TOP.5caaea41.000e2469	hashes->hashlist_mode	4
TOP.5caaea41.000e2469	hashes->hashlist_format	0
TOP.5caaea41.000e2469	hashes->hashes_cnt	0
TOP.5caaea41.000e2469	hashes->digests_cnt	1
TOP.5caaea41.000e2469	hashes->digests_done	0
TOP.5caaea41.000e2469	hashes->salts_cnt	1
TOP.5caaea41.000e2469	hashes->salts_done	0
TOP.5caaea41.000e2469	proc_start	1554704961
TOP.5caaea41.000e2469	proc_stop	1554704962
TOP.5caaea41.000e2469	STOP
TOP.5caaea7f.0004874b	START
TOP.5caaea7f.0004874b	user_options->separator	:
TOP.5caaea7f.0004874b	user_options->encoding_from	utf-8
TOP.5caaea7f.0004874b	user_options->encoding_to	utf-8
TOP.5caaea7f.0004874b	user_options->outfile	C:\Users\John\Downloads\Hashcat\outputs\output.txt
TOP.5caaea7f.0004874b	user_options->rule_buf_l	:
TOP.5caaea7f.0004874b	user_options->rule_buf_r	:
TOP.5caaea7f.0004874b	user_options->session	2019-04-08
TOP.5caaea7f.0004874b	user_options->limit	0
TOP.5caaea7f.0004874b	user_options->skip	0
TOP.5caaea7f.0004874b	user_options->attack_mode	0
TOP.5caaea7f.0004874b	user_options->benchmark	0
TOP.5caaea7f.0004874b	user_options->benchmark_all	0
TOP.5caaea7f.0004874b	user_options->bitmap_max	18
TOP.5caaea7f.0004874b	user_options->bitmap_min	16
TOP.5caaea7f.0004874b	user_options->debug_mode	0
TOP.5caaea7f.0004874b	user_options->example_hashes	0
TOP.5caaea7f.0004874b	user_options->force	1
TOP.5caaea7f.0004874b	user_options->hwmon_disable	0
TOP.5caaea7f.0004874b	user_options->hwmon_temp_abort	90
TOP.5caaea7f.0004874b	user_options->hash_mode	0
TOP.5caaea7f.0004874b	user_options->hex_charset	0
TOP.5caaea7f.0004874b	user_options->hex_salt	0
TOP.5caaea7f.0004874b	user_options->hex_wordlist	0
TOP.5caaea7f.0004874b	user_options->increment	0
TOP.5caaea7f.0004874b	user_options->increment_max	256
TOP.5caaea7f.0004874b	user_options->increment_min	1
TOP.5caaea7f.0004874b	user_options->keep_guessing	0
TOP.5caaea7f.0004874b	user_options->kernel_accel	0
TOP.5caaea7f.0004874b	user_options->kernel_loops	0
TOP.5caaea7f.0004874b	user_options->kernel_threads	0
TOP.5caaea7f.0004874b	user_options->keyspace	0
TOP.5caaea7f.0004874b	user_options->left	0
TOP.5caaea7f.0004874b	user_options->logfile_disable	0
TOP.5caaea7f.0004874b	user_options->loopback	0
TOP.5caaea7f.0004874b	user_options->machine_readable	0
TOP.5caaea7f.0004874b	user_options->markov_classic	0
TOP.5caaea7f.0004874b	user_options->markov_disable	0
TOP.5caaea7f.0004874b	user_options->markov_threshold	256
TOP.5caaea7f.0004874b	user_options->opencl_info	0
TOP.5caaea7f.0004874b	user_options->opencl_vector_width	0
TOP.5caaea7f.0004874b	user_options->optimized_kernel_enable	1
TOP.5caaea7f.0004874b	user_options->outfile_autohex	1
TOP.5caaea7f.0004874b	user_options->outfile_check_timer	5
TOP.5caaea7f.0004874b	user_options->outfile_format	3
TOP.5caaea7f.0004874b	user_options->wordlist_autohex_disable	0
