TOP.5dc27fb2.00062ba0	START
TOP.5dc27fb2.00062ba0	user_options->wordlist_autohex_disable	0
TOP.5dc27fb2.00062ba0	user_options->potfile_disable	1
TOP.5dc27fb2.00062ba0	user_options->progress_only	0
TOP.5dc27fb2.00062ba0	user_options->quiet	0
TOP.5dc27fb2.00062ba0	user_options->remove	0
TOP.5dc27fb2.00062ba0	user_options->remove_timer	60
TOP.5dc27fb2.00062ba0	user_options->restore	0
TOP.5dc27fb2.00062ba0	user_options->restore_disable	0
TOP.5dc27fb2.00062ba0	user_options->restore_timer	60
TOP.5dc27fb2.00062ba0	user_options->rp_files_cnt	0
TOP.5dc27fb2.00062ba0	user_options->rp_gen	0
TOP.5dc27fb2.00062ba0	user_options->rp_gen_func_max	4
TOP.5dc27fb2.00062ba0	user_options->rp_gen_func_min	1
TOP.5dc27fb2.00062ba0	user_options->rp_gen_seed	0
TOP.5dc27fb2.00062ba0	user_options->runtime	0
TOP.5dc27fb2.00062ba0	user_options->scrypt_tmto	0
TOP.5dc27fb2.00062ba0	user_options->segment_size	33554432
TOP.5dc27fb2.00062ba0	user_options->self_test_disable	0
TOP.5dc27fb2.00062ba0	user_options->slow_candidates	0
TOP.5dc27fb2.00062ba0	user_options->show	0
TOP.5dc27fb2.00062ba0	user_options->speed_only	0
TOP.5dc27fb2.00062ba0	user_options->spin_damp	8
TOP.5dc27fb2.00062ba0	user_options->status	1
TOP.5dc27fb2.00062ba0	user_options->status_timer	60
TOP.5dc27fb2.00062ba0	user_options->stdout_flag	0
TOP.5dc27fb2.00062ba0	user_options->usage	0
TOP.5dc27fb2.00062ba0	user_options->username	0
TOP.5dc27fb2.00062ba0	user_options->veracrypt_pim	0
TOP.5dc27fb2.00062ba0	user_options->version	0
TOP.5dc27fb2.00062ba0	user_options->workload_profile	2
TOP.5dc27fb2.00062ba0	user_options->brain_client	0
TOP.5dc27fb2.00062ba0	user_options->brain_client_features	2
TOP.5dc27fb2.00062ba0	user_options->brain_server	0
TOP.5dc27fb2.00062ba0	user_options->brain_port	6863
TOP.5dc27fb2.00062ba0	user_options->brain_session	0
TOP.5dc27fb2.00062ba0	hashes->hashfile	C:\Users\John\Downloads\portables\Hashcat\hashes\hash.txt
TOP.5dc27fb2.00062ba0	hashes->hashlist_mode	4
TOP.5dc27fb2.00062ba0	hashes->hashlist_format	0
TOP.5dc27fb2.00062ba0	hashes->hashes_cnt	0
TOP.5dc27fb2.00062ba0	hashes->digests_cnt	1
TOP.5dc27fb2.00062ba0	hashes->digests_done	0
TOP.5dc27fb2.00062ba0	hashes->salts_cnt	1
TOP.5dc27fb2.00062ba0	hashes->salts_done	0
TOP.5dc27fb2.00062ba0	proc_start	1573027762
TOP.5dc27fb2.00062ba0	proc_stop	1573027764
TOP.5dc27fb2.00062ba0	STOP
TOP.5dc28029.0006fb1f	START
TOP.5dc28029.0006fb1f	user_options->separator	:
TOP.5dc28029.0006fb1f	user_options->encoding_from	utf-8
TOP.5dc28029.0006fb1f	user_options->encoding_to	utf-8
TOP.5dc28029.0006fb1f	user_options->opencl_device_types	1
TOP.5dc28029.0006fb1f	user_options->outfile	C:\Users\John\Downloads\portables\Hashcat\output\output.txt
TOP.5dc28029.0006fb1f	user_options->rule_buf_l	:
TOP.5dc28029.0006fb1f	user_options->rule_buf_r	:
TOP.5dc28029.0006fb1f	user_options->session	2019-11-06
TOP.5dc28029.0006fb1f	user_options->limit	0
TOP.5dc28029.0006fb1f	user_options->skip	0
TOP.5dc28029.0006fb1f	user_options->attack_mode	0
TOP.5dc28029.0006fb1f	user_options->benchmark	0
TOP.5dc28029.0006fb1f	user_options->benchmark_all	0
TOP.5dc28029.0006fb1f	user_options->bitmap_max	18
TOP.5dc28029.0006fb1f	user_options->bitmap_min	16
TOP.5dc28029.0006fb1f	user_options->debug_mode	0
TOP.5dc28029.0006fb1f	user_options->example_hashes	0
TOP.5dc28029.0006fb1f	user_options->force	0
TOP.5dc28029.0006fb1f	user_options->hwmon_disable	0
TOP.5dc28029.0006fb1f	user_options->hwmon_temp_abort	90
TOP.5dc28029.0006fb1f	user_options->hash_mode	4400
TOP.5dc28029.0006fb1f	user_options->hex_charset	1
TOP.5dc28029.0006fb1f	user_options->hex_salt	0
TOP.5dc28029.0006fb1f	user_options->hex_wordlist	0
TOP.5dc28029.0006fb1f	user_options->increment	0
TOP.5dc28029.0006fb1f	user_options->increment_max	256
TOP.5dc28029.0006fb1f	user_options->increment_min	1
TOP.5dc28029.0006fb1f	user_options->keep_guessing	0
TOP.5dc28029.0006fb1f	user_options->kernel_accel	0
TOP.5dc28029.0006fb1f	user_options->kernel_loops	0
TOP.5dc28029.0006fb1f	user_options->kernel_threads	0
TOP.5dc28029.0006fb1f	user_options->keyspace	0
TOP.5dc28029.0006fb1f	user_options->left	0
TOP.5dc28029.0006fb1f	user_options->logfile_disable	0
TOP.5dc28029.0006fb1f	user_options->loopback	0
TOP.5dc28029.0006fb1f	user_options->machine_readable	0
TOP.5dc28029.0006fb1f	user_options->markov_classic	0
TOP.5dc28029.0006fb1f	user_options->markov_disable	0
TOP.5dc28029.0006fb1f	user_options->markov_threshold	256
TOP.5dc28029.0006fb1f	user_options->opencl_info	0
TOP.5dc28029.0006fb1f	user_options->opencl_vector_width	0
TOP.5dc28029.0006fb1f	user_options->optimized_kernel_enable	1
TOP.5dc28029.0006fb1f	user_options->outfile_autohex	1
TOP.5dc28029.0006fb1f	user_options->outfile_check_timer	5
TOP.5dc28029.0006fb1f	user_options->outfile_format	3
TOP.5dc28029.0006fb1f	user_options->wordlist_autohex_disable	0
TOP.5dc28029.0006fb1f	user_options->potfile_disable	1
TOP.5dc28029.0006fb1f	user_options->progress_only	0
TOP.5dc28029.0006fb1f	user_options->quiet	0
TOP.5dc28029.0006fb1f	user_options->remove	0
TOP.5dc28029.0006fb1f	user_options->remove_timer	60
TOP.5dc28029.0006fb1f	user_options->restore	0
TOP.5dc28029.0006fb1f	user_options->restore_disable	0
TOP.5dc28029.0006fb1f	user_options->restore_timer	60
TOP.5dc28029.0006fb1f	user_options->rp_files_cnt	0
TOP.5dc28029.0006fb1f	user_options->rp_gen	0
TOP.5dc28029.0006fb1f	user_options->rp_gen_func_max	4
TOP.5dc28029.0006fb1f	user_options->rp_gen_func_min	1
TOP.5dc28029.0006fb1f	user_options->rp_gen_seed	0
TOP.5dc28029.0006fb1f	user_options->runtime	0
TOP.5dc28029.0006fb1f	user_options->scrypt_tmto	0
TOP.5dc28029.0006fb1f	user_options->segment_size	33554432
TOP.5dc28029.0006fb1f	user_options->self_test_disable	0
TOP.5dc28029.0006fb1f	user_options->slow_candidates	0
TOP.5dc28029.0006fb1f	user_options->show	0
TOP.5dc28029.0006fb1f	user_options->speed_only	0
TOP.5dc28029.0006fb1f	user_options->spin_damp	8
TOP.5dc28029.0006fb1f	user_options->status	1
TOP.5dc28029.0006fb1f	user_options->status_timer	60
TOP.5dc28029.0006fb1f	user_options->stdout_flag	0
TOP.5dc28029.0006fb1f	user_options->usage	0
TOP.5dc28029.0006fb1f	user_options->username	0
TOP.5dc28029.0006fb1f	user_options->veracrypt_pim	0
TOP.5dc28029.0006fb1f	user_options->version	0
TOP.5dc28029.0006fb1f	user_options->workload_profile	2
TOP.5dc28029.0006fb1f	user_options->brain_client	0
TOP.5dc28029.0006fb1f	user_options->brain_client_features	2
TOP.5dc28029.0006fb1f	user_options->brain_server	0
TOP.5dc28029.0006fb1f	user_options->brain_port	6863
TOP.5dc28029.0006fb1f	user_options->brain_session	0
TOP.5dc28029.0006fb1f	hashes->hashfile	C:\Users\John\Downloads\portables\Hashcat\hashes\hash.txt
TOP.5dc28029.0006fb1f	hashes->hashlist_mode	4
TOP.5dc28029.0006fb1f	hashes->hashlist_format	0
TOP.5dc28029.0006fb1f	hashes->hashes_cnt	0
TOP.5dc28029.0006fb1f	hashes->digests_cnt	1
TOP.5dc28029.0006fb1f	hashes->digests_done	0
TOP.5dc28029.0006fb1f	hashes->salts_cnt	1
TOP.5dc28029.0006fb1f	hashes->salts_done	0
TOP.5dc28029.0006fb1f	proc_start	1573027881
TOP.5dc28029.0006fb1f	proc_stop	1573027883
TOP.5dc28029.0006fb1f	STOP
TOP.5dc28033.00088d98	START
TOP.5dc28033.00088d98	user_options->separator	:
TOP.5dc28033.00088d98	user_options->encoding_from	utf-8
TOP.5dc28033.00088d98	user_options->encoding_to	utf-8
TOP.5dc28033.00088d98	user_options->opencl_device_types	1
TOP.5dc28033.00088d98	user_options->outfile	C:\Users\John\Downloads\portables\Hashcat\output\output.txt
TOP.5dc28033.00088d98	user_options->rule_buf_l	:
TOP.5dc28033.00088d98	user_options->rule_buf_r	:
TOP.5dc28033.00088d98	user_options->session	2019-11-06
TOP.5dc28033.00088d98	user_options->limit	0
TOP.5dc28033.00088d98	user_options->skip	0
TOP.5dc28033.00088d98	user_options->attack_mode	0
TOP.5dc28033.00088d98	user_options->benchmark	0
TOP.5dc28033.00088d98	user_options->benchmark_all	0
TOP.5dc28033.00088d98	user_options->bitmap_max	18
TOP.5dc28033.00088d98	user_options->bitmap_min	16
TOP.5dc28033.00088d98	user_options->debug_mode	0
TOP.5dc28033.00088d98	user_options->example_hashes	0
TOP.5dc28033.00088d98	user_options->force	0
TOP.5dc28033.00088d98	user_options->hwmon_disable	0
TOP.5dc28033.00088d98	user_options->hwmon_temp_abort	90
TOP.5dc28033.00088d98	user_options->hash_mode	4400
TOP.5dc28033.00088d98	user_options->hex_charset	1
TOP.5dc28033.00088d98	user_options->hex_salt	0
TOP.5dc28033.00088d98	user_options->hex_wordlist	0
TOP.5dc28033.00088d98	user_options->increment	0
TOP.5dc28033.00088d98	user_options->increment_max	256
TOP.5dc28033.00088d98	user_options->increment_min	1
TOP.5dc28033.00088d98	user_options->keep_guessing	0
TOP.5dc28033.00088d98	user_options->kernel_accel	0
TOP.5dc28033.00088d98	user_options->kernel_loops	0
TOP.5dc28033.00088d98	user_options->kernel_threads	0
TOP.5dc28033.00088d98	user_options->keyspace	0
TOP.5dc28033.00088d98	user_options->left	0
TOP.5dc28033.00088d98	user_options->logfile_disable	0
TOP.5dc28033.00088d98	user_options->loopback	0
TOP.5dc28033.00088d98	user_options->machine_readable	0
TOP.5dc28033.00088d98	user_options->markov_classic	0
TOP.5dc28033.00088d98	user_options->markov_disable	0
TOP.5dc28033.00088d98	user_options->markov_threshold	256
TOP.5dc28033.00088d98	user_options->opencl_info	0
TOP.5dc28033.00088d98	user_options->opencl_vector_width	0
TOP.5dc28033.00088d98	user_options->optimized_kernel_enable	1
TOP.5dc28033.00088d98	user_options->outfile_autohex	1
TOP.5dc28033.00088d98	user_options->outfile_check_timer	5
TOP.5dc28033.00088d98	user_options->outfile_format	3
TOP.5dc28033.00088d98	user_options->wordlist_autohex_disable	0
TOP.5dc28033.00088d98	user_options->potfile_disable	1
TOP.5dc28033.00088d98	user_options->progress_only	0
TOP.5dc28033.00088d98	user_options->quiet	0
TOP.5dc28033.00088d98	user_options->remove	0
TOP.5dc28033.00088d98	user_options->remove_timer	60
TOP.5dc28033.00088d98	user_options->restore	0
TOP.5dc28033.00088d98	user_options->restore_disable	0
TOP.5dc28033.00088d98	user_options->restore_timer	60
TOP.5dc28033.00088d98	user_options->rp_files_cnt	0
TOP.5dc28033.00088d98	user_options->rp_gen	0
TOP.5dc28033.00088d98	user_options->rp_gen_func_max	4
TOP.5dc28033.00088d98	user_options->rp_gen_func_min	1
TOP.5dc28033.00088d98	user_options->rp_gen_seed	0
TOP.5dc28033.00088d98	user_options->runtime	0
TOP.5dc28033.00088d98	user_options->scrypt_tmto	0
TOP.5dc28033.00088d98	user_options->segment_size	33554432
TOP.5dc28033.00088d98	user_options->self_test_disable	0
TOP.5dc28033.00088d98	user_options->slow_candidates	0
TOP.5dc28033.00088d98	user_options->show	0
TOP.5dc28033.00088d98	user_options->speed_only	0
TOP.5dc28033.00088d98	user_options->spin_damp	8
TOP.5dc28033.00088d98	user_options->status	1
TOP.5dc28033.00088d98	user_options->status_timer	60
TOP.5dc28033.00088d98	user_options->stdout_flag	0
TOP.5dc28033.00088d98	user_options->usage	0
TOP.5dc28033.00088d98	user_options->username	0
TOP.5dc28033.00088d98	user_options->veracrypt_pim	0
TOP.5dc28033.00088d98	user_options->version	0
TOP.5dc28033.00088d98	user_options->workload_profile	2
TOP.5dc28033.00088d98	user_options->brain_client	0
TOP.5dc28033.00088d98	user_options->brain_client_features	2
TOP.5dc28033.00088d98	user_options->brain_server	0
TOP.5dc28033.00088d98	user_options->brain_port	6863
TOP.5dc28033.00088d98	user_options->brain_session	0
TOP.5dc28033.00088d98	hashes->hashfile	C:\Users\John\Downloads\portables\Hashcat\hashes\hash.txt
TOP.5dc28033.00088d98	hashes->hashlist_mode	4
TOP.5dc28033.00088d98	hashes->hashlist_format	0
TOP.5dc28033.00088d98	hashes->hashes_cnt	0
TOP.5dc28033.00088d98	hashes->digests_cnt	1
TOP.5dc28033.00088d98	hashes->digests_done	0
TOP.5dc28033.00088d98	hashes->salts_cnt	1
TOP.5dc28033.00088d98	hashes->salts_done	0
TOP.5dc28033.00088d98	proc_start	1573027891
TOP.5dc28033.00088d98	proc_stop	1573027893
TOP.5dc28033.00088d98	STOP
TOP.5dc2803c.00043595	START
TOP.5dc2803c.00043595	user_options->separator	:
TOP.5dc2803c.00043595	user_options->encoding_from	utf-8
TOP.5dc2803c.00043595	user_options->encoding_to	utf-8
TOP.5dc2803c.00043595	user_options->opencl_device_types	1
TOP.5dc2803c.00043595	user_options->outfile	C:\Users\John\Downloads\portables\Hashcat\output\output.txt
TOP.5dc2803c.00043595	user_options->rule_buf_l	:
TOP.5dc2803c.00043595	user_options->rule_buf_r	:
TOP.5dc2803c.00043595	user_options->session	2019-11-06
TOP.5dc2803c.00043595	user_options->limit	0
TOP.5dc2803c.00043595	user_options->skip	0
TOP.5dc2803c.00043595	user_options->attack_mode	0
TOP.5dc2803c.00043595	user_options->benchmark	0
TOP.5dc2803c.00043595	user_options->benchmark_all	0
TOP.5dc2803c.00043595	user_options->bitmap_max	18
TOP.5dc2803c.00043595	user_options->bitmap_min	16
TOP.5dc2803c.00043595	user_options->debug_mode	0
TOP.5dc2803c.00043595	user_options->example_hashes	0
TOP.5dc2803c.00043595	user_options->force	0
TOP.5dc2803c.00043595	user_options->hwmon_disable	0
TOP.5dc2803c.00043595	user_options->hwmon_temp_abort	90
TOP.5dc2803c.00043595	user_options->hash_mode	4400
TOP.5dc2803c.00043595	user_options->hex_charset	1
TOP.5dc2803c.00043595	user_options->hex_salt	0
TOP.5dc2803c.00043595	user_options->hex_wordlist	0
TOP.5dc2803c.00043595	user_options->increment	0
TOP.5dc2803c.00043595	user_options->increment_max	256
TOP.5dc2803c.00043595	user_options->increment_min	1
TOP.5dc2803c.00043595	user_options->keep_guessing	0
TOP.5dc2803c.00043595	user_options->kernel_accel	0
TOP.5dc2803c.00043595	user_options->kernel_loops	0
TOP.5dc2803c.00043595	user_options->kernel_threads	0
TOP.5dc2803c.00043595	user_options->keyspace	0
TOP.5dc2803c.00043595	user_options->left	0
TOP.5dc2803c.00043595	user_options->logfile_disable	0
TOP.5dc2803c.00043595	user_options->loopback	0
TOP.5dc2803c.00043595	user_options->machine_readable	0
TOP.5dc2803c.00043595	user_options->markov_classic	0
TOP.5dc2803c.00043595	user_options->markov_disable	0
TOP.5dc2803c.00043595	user_options->markov_threshold	256
TOP.5dc2803c.00043595	user_options->opencl_info	0
TOP.5dc2803c.00043595	user_options->opencl_vector_width	0
TOP.5dc2803c.00043595	user_options->optimized_kernel_enable	1
TOP.5dc2803c.00043595	user_options->outfile_autohex	1
TOP.5dc2803c.00043595	user_options->outfile_check_timer	5
TOP.5dc2803c.00043595	user_options->outfile_format	3
TOP.5dc2803c.00043595	user_options->wordlist_autohex_disable	0
TOP.5dc2803c.00043595	user_options->potfile_disable	1
TOP.5dc2803c.00043595	user_options->progress_only	0
TOP.5dc2803c.00043595	user_options->quiet	0
TOP.5dc2803c.00043595	user_options->remove	0
TOP.5dc2803c.00043595	user_options->remove_timer	60
TOP.5dc2803c.00043595	user_options->restore	0
TOP.5dc2803c.00043595	user_options->restore_disable	0
TOP.5dc2803c.00043595	user_options->restore_timer	60
TOP.5dc2803c.00043595	user_options->rp_files_cnt	0
TOP.5dc2803c.00043595	user_options->rp_gen	0
TOP.5dc2803c.00043595	user_options->rp_gen_func_max	4
TOP.5dc2803c.00043595	user_options->rp_gen_func_min	1
TOP.5dc2803c.00043595	user_options->rp_gen_seed	0
TOP.5dc2803c.00043595	user_options->runtime	0
TOP.5dc2803c.00043595	user_options->scrypt_tmto	0
TOP.5dc2803c.00043595	user_options->segment_size	33554432
TOP.5dc2803c.00043595	user_options->self_test_disable	0
TOP.5dc2803c.00043595	user_options->slow_candidates	0
TOP.5dc2803c.00043595	user_options->show	0
TOP.5dc2803c.00043595	user_options->speed_only	0
TOP.5dc2803c.00043595	user_options->spin_damp	8
TOP.5dc2803c.00043595	user_options->status	1
TOP.5dc2803c.00043595	user_options->status_timer	60
TOP.5dc2803c.00043595	user_options->stdout_flag	0
TOP.5dc2803c.00043595	user_options->usage	0
TOP.5dc2803c.00043595	user_options->username	0
TOP.5dc2803c.00043595	user_options->veracrypt_pim	0
TOP.5dc2803c.00043595	user_options->version	0
TOP.5dc2803c.00043595	user_options->workload_profile	2
TOP.5dc2803c.00043595	user_options->brain_client	0
TOP.5dc2803c.00043595	user_options->brain_client_features	2
TOP.5dc2803c.00043595	user_options->brain_server	0
TOP.5dc2803c.00043595	user_options->brain_port	6863
TOP.5dc2803c.00043595	user_options->brain_session	0
TOP.5dc2803c.00043595	hashes->hashfile	C:\Users\John\Downloads\portables\Hashcat\hashes\hash.txt
TOP.5dc2803c.00043595	hashes->hashlist_mode	4
TOP.5dc2803c.00043595	hashes->hashlist_format	0
TOP.5dc2803c.00043595	hashes->hashes_cnt	0
TOP.5dc2803c.00043595	hashes->digests_cnt	1
TOP.5dc2803c.00043595	hashes->digests_done	0
TOP.5dc2803c.00043595	hashes->salts_cnt	1
TOP.5dc2803c.00043595	hashes->salts_done	0
TOP.5dc2803c.00043595	proc_start	1573027900
TOP.5dc2803c.00043595	proc_stop	1573027901
TOP.5dc2803c.00043595	STOP
TOP.5dc28049.00056acd	START
TOP.5dc28049.00056acd	user_options->separator	:
TOP.5dc28049.00056acd	user_options->encoding_from	utf-8
TOP.5dc28049.00056acd	user_options->encoding_to	utf-8
TOP.5dc28049.00056acd	user_options->opencl_device_types	1
TOP.5dc28049.00056acd	user_options->outfile	C:\Users\John\Downloads\portables\Hashcat\output\output.txt
TOP.5dc28049.00056acd	user_options->rule_buf_l	:
TOP.5dc28049.00056acd	user_options->rule_buf_r	:
TOP.5dc28049.00056acd	user_options->session	2019-11-06
TOP.5dc28049.00056acd	user_options->limit	0
TOP.5dc28049.00056acd	user_options->skip	0
TOP.5dc28049.00056acd	user_options->attack_mode	0
TOP.5dc28049.00056acd	user_options->benchmark	0
TOP.5dc28049.00056acd	user_options->benchmark_all	0
TOP.5dc28049.00056acd	user_options->bitmap_max	18
TOP.5dc28049.00056acd	user_options->bitmap_min	16
TOP.5dc28049.00056acd	user_options->debug_mode	0
TOP.5dc28049.00056acd	user_options->example_hashes	0
TOP.5dc28049.00056acd	user_options->force	0
TOP.5dc28049.00056acd	user_options->hwmon_disable	0
TOP.5dc28049.00056acd	user_options->hwmon_temp_abort	90
TOP.5dc28049.00056acd	user_options->hash_mode	4400
TOP.5dc28049.00056acd	user_options->hex_charset	1
TOP.5dc28049.00056acd	user_options->hex_salt	0
TOP.5dc28049.00056acd	user_options->hex_wordlist	0
TOP.5dc28049.00056acd	user_options->increment	0
TOP.5dc28049.00056acd	user_options->increment_max	256
TOP.5dc28049.00056acd	user_options->increment_min	1
TOP.5dc28049.00056acd	user_options->keep_guessing	0
TOP.5dc28049.00056acd	user_options->kernel_accel	0
TOP.5dc28049.00056acd	user_options->kernel_loops	0
TOP.5dc28049.00056acd	user_options->kernel_threads	0
TOP.5dc28049.00056acd	user_options->keyspace	0
TOP.5dc28049.00056acd	user_options->left	0
TOP.5dc28049.00056acd	user_options->logfile_disable	0
TOP.5dc28049.00056acd	user_options->loopback	0
TOP.5dc28049.00056acd	user_options->machine_readable	0
TOP.5dc28049.00056acd	user_options->markov_classic	0
TOP.5dc28049.00056acd	user_options->markov_disable	0
TOP.5dc28049.00056acd	user_options->markov_threshold	256
TOP.5dc28049.00056acd	user_options->opencl_info	0
TOP.5dc28049.00056acd	user_options->opencl_vector_width	0
TOP.5dc28049.00056acd	user_options->optimized_kernel_enable	1
TOP.5dc28049.00056acd	user_options->outfile_autohex	1
TOP.5dc28049.00056acd	user_options->outfile_check_timer	5
TOP.5dc28049.00056acd	user_options->outfile_format	3
TOP.5dc28049.00056acd	user_options->wordlist_autohex_disable	0
TOP.5dc28049.00056acd	user_options->potfile_disable	1
TOP.5dc28049.00056acd	user_options->progress_only	0
TOP.5dc28049.00056acd	user_options->quiet	0
TOP.5dc28049.00056acd	user_options->remove	0
TOP.5dc28049.00056acd	user_options->remove_timer	60
TOP.5dc28049.00056acd	user_options->restore	0
TOP.5dc28049.00056acd	user_options->restore_disable	0
TOP.5dc28049.00056acd	user_options->restore_timer	60
TOP.5dc28049.00056acd	user_options->rp_files_cnt	0
TOP.5dc28049.00056acd	user_options->rp_gen	0
TOP.5dc28049.00056acd	user_options->rp_gen_func_max	4
TOP.5dc28049.00056acd	user_options->rp_gen_func_min	1
TOP.5dc28049.00056acd	user_options->rp_gen_seed	0
TOP.5dc28049.00056acd	user_options->runtime	0
TOP.5dc28049.00056acd	user_options->scrypt_tmto	0
TOP.5dc28049.00056acd	user_options->segment_size	33554432
TOP.5dc28049.00056acd	user_options->self_test_disable	0
TOP.5dc28049.00056acd	user_options->slow_candidates	0
TOP.5dc28049.00056acd	user_options->show	0
TOP.5dc28049.00056acd	user_options->speed_only	0
TOP.5dc28049.00056acd	user_options->spin_damp	8
TOP.5dc28049.00056acd	user_options->status	1
TOP.5dc28049.00056acd	user_options->status_timer	60
TOP.5dc28049.00056acd	user_options->stdout_flag	0
TOP.5dc28049.00056acd	user_options->usage	0
TOP.5dc28049.00056acd	user_options->username	0
TOP.5dc28049.00056acd	user_options->veracrypt_pim	0
TOP.5dc28049.00056acd	user_options->version	0
TOP.5dc28049.00056acd	user_options->workload_profile	2
TOP.5dc28049.00056acd	user_options->brain_client	0
TOP.5dc28049.00056acd	user_options->brain_client_features	2
TOP.5dc28049.00056acd	user_options->brain_server	0
TOP.5dc28049.00056acd	user_options->brain_port	6863
TOP.5dc28049.00056acd	user_options->brain_session	0
TOP.5dc28049.00056acd	hashes->hashfile	C:\Users\John\Downloads\portables\Hashcat\hashes\hash.txt
TOP.5dc28049.00056acd	hashes->hashlist_mode	4
TOP.5dc28049.00056acd	hashes->hashlist_format	0
TOP.5dc28049.00056acd	hashes->hashes_cnt	0
TOP.5dc28049.00056acd	hashes->digests_cnt	1
TOP.5dc28049.00056acd	hashes->digests_done	0
TOP.5dc28049.00056acd	hashes->salts_cnt	1
TOP.5dc28049.00056acd	hashes->salts_done	0
TOP.5dc28049.00056acd	proc_start	1573027913
TOP.5dc28049.00056acd	proc_stop	1573027914
TOP.5dc28049.00056acd	STOP
TOP.5dc28065.0005c6b4	START
TOP.5dc28065.0005c6b4	user_options->separator	:
TOP.5dc28065.0005c6b4	user_options->encoding_from	utf-8
TOP.5dc28065.0005c6b4	user_options->encoding_to	utf-8
TOP.5dc28065.0005c6b4	user_options->opencl_device_types	1
TOP.5dc28065.0005c6b4	user_options->outfile	C:\Users\John\Downloads\portables\Hashcat\output\output.txt
TOP.5dc28065.0005c6b4	user_options->rule_buf_l	:
TOP.5dc28065.0005c6b4	user_options->rule_buf_r	:
TOP.5dc28065.0005c6b4	user_options->session	2019-11-06
TOP.5dc28065.0005c6b4	user_options->limit	0
TOP.5dc28065.0005c6b4	user_options->skip	0
TOP.5dc28065.0005c6b4	user_options->attack_mode	0
TOP.5dc28065.0005c6b4	user_options->benchmark	0
TOP.5dc28065.0005c6b4	user_options->benchmark_all	0
TOP.5dc28065.0005c6b4	user_options->bitmap_max	18
TOP.5dc28065.0005c6b4	user_options->bitmap_min	16
TOP.5dc28065.0005c6b4	user_options->debug_mode	0
TOP.5dc28065.0005c6b4	user_options->example_hashes	0
TOP.5dc28065.0005c6b4	user_options->force	0
TOP.5dc28065.0005c6b4	user_options->hwmon_disable	0
TOP.5dc28065.0005c6b4	user_options->hwmon_temp_abort	90
TOP.5dc28065.0005c6b4	user_options->hash_mode	100
TOP.5dc28065.0005c6b4	user_options->hex_charset	1
TOP.5dc28065.0005c6b4	user_options->hex_salt	0
TOP.5dc28065.0005c6b4	user_options->hex_wordlist	0
TOP.5dc28065.0005c6b4	user_options->increment	0
TOP.5dc28065.0005c6b4	user_options->increment_max	256
